transaction_id,booking_ref,partner_id,user_id,created_at,ingest_ts,amount,currency,status,payment_method,gateway,retry_count,error_code,notes,processing_ms
TXN00000001,BKG0006740,PRT0002,08f88eb8-cd46-49d8-b7ee-ade60aaedfd8,2024-10-24 03:29:04,2024-10-24 03:29:36,463.45,CLP,confirmed,pix,,2,E003,manual_review,2186
TXN00000002,BKG0013120,PRT0018,cd2e73d1-48f6-4874-970e-520f41cef2a8,2024-12-09 04:16:15,2024-12-09 04:16:57,1954.39,ARS,completed,,,3,TIMEOUT,manual_review,14731
TXN00000003,BKG0012708,PRT0005,5fe01a81-e83d-47e7-88e1-3540d40b4c5a,2024-11-04 07:01:16,2024-11-04 07:04:37,328.73,BRL,CONFIRMED,,cielo,4,,retry,8326
TXN00000004,BKG0007206,PRT0008,8cb8292e-6ed0-4837-8322-7da555fb9a91,2024-11-19 21:27:47,2024-11-19 21:31:42,1076.36,USD,pending,,stripe,0,TIMEOUT,,10864
TXN00000005,BKG0009893,PRT0013,0e6ce643-c862-458c-a6f7-182ec07a002a,2025-02-11 13:21:53,2025-02-11 13:22:47,355.08,CLP,pending,debit_card,pagseguro,3,E003,manual_review,4837
TXN00000006,BKG0003938,PRT0004,0fa20cf5-700b-43cb-9c9a-b086defd7edc,2024-12-02 00:14:59,2024-12-02 00:19:48,485.37,CLP,completed,boleto,,1,,retry,12803
TXN00000007,BKG0017798,PRT0001,576930d0-0c67-4bc0-9f2f-f206865fedd1,2024-10-28 16:35:51,2024-10-28 16:37:33,1944.25,ARS,Confirmed,boleto,,1,E002,"{""legacy_id"": 67037}",11985
TXN00000008,BKG0010931,PRT0019,e82fe623-d526-44e6-86f9-76d8e2e9ea32,2025-03-11 19:24:13,2025-03-11 19:26:01,1567.51,ARS,confirmed,credit_card,adyen,3,E003,ok,805
TXN00000009,BKG0000098,PRT0011,f93f99be-e929-4b99-9843-edcefa6e16a9,2024-11-26 20:58:09,2024-11-26 20:58:33,610.51,ARS,confirmed,pix,cielo,3,TIMEOUT,,7068
TXN00000010,BKG0017896,PRT0015,4f345afa-a3ad-4e1b-b834-7ee5af4e3793,2025-03-05 12:54:41,2025-03-05 12:54:41,1394.97,CLP,cancelled,,,0,,ok,8599
TXN00000011,BKG0014585,PRT0012,7a8e3538-8f71-4b50-b8a8-680db733e0ac,2025-01-10 19:24:48,2025-01-10 19:28:40,1575.74,ARS,completed,pix,stripe,0,E001,retry,2573
